Name,Age,Is Older,Age Diff,Occupation,Function,Hometown,City,State,Region,ElimWeek,Season,First_Impression_Rose,Hair Color,Is Blonde,Winner,Height
Erin,25,0,3,Publications Quality Control,Corporate,"Westchester, Pennsylvania",Westchester,Pennsylvania,Northeast,2,2,0,,,0,
Suzanne,33,1,5,Flight Attendant,Transportation,"Redondo Beach, California",Redondo Beach,California,West,2,2,0,,,0,
Frances,30,1,2,Strategic Planning Analyst,Finance,"San Francisco, California",San Francisco,California,West,2,2,0,,,0,
Anindita,27,0,1,Attorney,Legal,"New York, New York",New York,New York,Northeast,2,2,0,Black,0,0,
Amber,26,0,2,Psychologist,Medical,"Chapel Hill, North Carolina",Chapel Hill,North Carolina,South,1,2,0,,,0,
Camille,29,1,1,Actress,Arts/Entertainment,"Los Angeles, California",Los Angeles,California,West,1,2,0,,,0,
Cari,29,1,1,3rd Grade Teacher,Education,"Granite City, Illinois",Granite City,Illinois,Midwest,1,2,0,,,0,
Christy,24,0,4,Radiological Technologist,Medical,"Avondale, Arizona",Avondale,Arizona,West,1,2,0,,,0,
Erin,24,0,4,Interior Designer,Retail/Services/Entrepreneur,"Houston, Texas",Houston,Texas,South,1,2,0,,,0,
Fatima,22,0,6,College Student,Student,"Long Beach, California",Long Beach,California,West,1,2,0,,,0,
Liangy,30,1,2,Paralegal,Legal,"Coral Gables, Florida",Coral Gables,Florida,South,1,2,0,,,0,
Lori,26,0,2,Former NBA Cheerleader,Arts/Entertainment,"Dallas, Texas",Dallas,Texas,South,1,2,0,,,0,
Merrilee,28,0,0,1st Grade Teacher,Education,"Forked River, New Jersey",Forked River,New Jersey,Northeast,1,2,0,,,0,
Suzi,28,0,0,Communications Specialist,Corporate,"Richmond, Virginia",Richmond,Virginia,South,1,2,0,,,0,
Jessica Bowlin,22,0,3,Student,Student,"Huntington Beach, California",Huntington Beach,California,West,8,5,0,Blonde,1,1,65
Tara Huckeby,23,1,1,General contractor,Corporate,"Shawnee, Oklahoma",Shawnee,Oklahoma,South,7,5,0,Blonde,1,0,
Mandy Jaye Jeffreys,26,1,3,Designer for an architect firm,Retail/Services/Entrepreneur,"Midland, Texas",Midland,Texas,South,6,5,0,,,0,
Trish Schneider,28,0,2,Model,Arts/Entertainment,"Atlanta, Georgia",Atlanta,Georgia,South,5,5,1,Brown,0,0,
Suzie Williams,23,1,3,Prosthetic technician,Medical,"Ann Arbor, Michigan",Ann Arbor,Michigan,Midwest,4,5,0,Blonde,1,0,
Karen Lindsay,28,0,0,Pharmaceutical sales,Sales,"Pleasant Grove, Utah",Pleasant Grove,Utah,West,4,5,0,Brown,0,0,
Jessica Holcomb,25,0,1,Attorney,Legal,"Pearsall, Texas",Pearsall,Texas,South,3,5,0,Blonde,1,0,
Julie Durda,24,1,1,Professional Cheerleader,Arts/Entertainment,"Sacramento, California",Sacramento,California,West,3,5,0,,,0,
Jenny De Schiralli,26,0,3,Swim instructor/nanny/personal trainer,Retail/Services/Entrepreneur,"Carrboro, North Carolina",Carrboro,North Carolina,South,3,5,0,,,0,
Katie Gehart,22,1,1,LASIK Eye and Skin Center manager,Medical,"Scottsdale, Arizona",Scottsdale,Arizona,West,3,5,0,Brown,0,0,
Jean-Marie Callahan,26,1,2,Hair stylist,Retail/Services/Entrepreneur,"Gibson, North Carolina",Gibson,North Carolina,South,2,5,0,,,0,
Debbie Merkett,27,1,2,Massage therapist/bartender,Retail/Services/Entrepreneur,"Pinetops, North Carolina",Pinetops,North Carolina,South,2,5,0,Blonde,1,0,
Anne-Catherine Labbé,27,1,2,Model/make-up artist,Arts/Entertainment,"Quebec City, Quebec",Quebec City,Quebec,International,2,5,0,,,0,
Amber LaRoux,27,0,0,Consultant,Corporate,"Sunriver, Oregon",Sunriver,Oregon,West,2,5,0,Blonde,1,0,
Mandy Clemens,25,0,0,Professional soccer player,Arts/Entertainment,"San Diego, California",San Diego,California,West,2,5,0,Brown,0,0,
Kristy Romero,25,0,1,Student,Student,"Dearborn, Michigan",Dearborn,Michigan,Midwest,2,5,0,,,0,
Celeste Creel,24,0,1,Model/executive assistant,Arts/Entertainment,"Ithaca, New York",Ithaca,New York,Northeast,2,5,0,,,0,
Jenny Matthews,24,1,1,Retail manager,Retail/Services/Entrepreneur,"Canton, Michigan",Canton,Michigan,Midwest,2,5,0,Blonde,1,0,
Dolores Farburg,26,0,0,Account manager,Sales,"Madison, New Jersey",Madison,New Jersey,Northeast,1,5,0,,,0,
Francine Jones,25,0,0,Retail manager,Retail/Services/Entrepreneur,"Houston, Texas",Houston,Texas,South,1,5,0,Black,0,0,
DeShaun Warner,25,0,4,Account manager/sales,Sales,"Phillipsburg, New Jersey",Phillipsburg,New Jersey,Northeast,1,5,0,Black,0,0,
Jessica Kyron,21,1,1,Student,Student,"Cincinnati, Ohio",Cincinnati,Ohio,Midwest,1,5,0,,,0,
Holly Reeder,26,1,1,Bank representative,Finance,"Tulsa, Oklahoma",Tulsa,Oklahoma,South,1,5,0,,,0,
Rachel Clementi,26,0,0,Fashion public relations manager,Arts/Entertainment,"Buffalo, New York",Buffalo,New York,Northeast,1,5,0,Blonde,1,0,
Kristin Clearwater,25,,,Singer,Arts/Entertainment,"Sausalito, California",Sausalito,California,West,1,5,0,Blonde,1,0,
Jennifer Wilson,24,0,10,Teacher,Education,"Pembroke Pines, Florida",Pembroke Pines,Florida,South,8,9,0,Blonde,1,1,68
Sadie Murray,23,0,11,Publicist,Corporate,"Carlsbad, California",Carlsbad,California,West,7,9,0,Blonde,1,0,
Lisa Blank,25,0,9,Marketing manager,Marketing,"Portland, Oregon",Portland,Oregon,West,6,9,1,Brown,0,0,
Agnese Polliza,24,0,10,Student,Student,"Venice, Italy",Venice,Italy,International,5,9,0,Brown,0,0,
Jeanette Pawula,23,0,11,Teacher,Education,"Bloomingdale, Illinois",Bloomingdale,Illinois,Midwest,4,9,0,Black,0,0,
Desiree Valentin,22,0,12,Realtor,Real Estate,"Salt Lake City, Utah",Salt Lake City,Utah,West,4,9,0,Blonde,1,0,
Jami Matzke,27,0,7,Event planner,Retail/Services/Entrepreneur,"Galveston, Texas",Galveston,Texas,South,3,9,0,Blonde,1,0,
Gina Clark,28,0,6,Ultrasound technician,Medical,"Chicago, Illinois",Chicago,Illinois,Midwest,3,9,0,Brown,0,0,
Erica Rose,23,0,11,Socialite,Arts/Entertainment,"Houston, Texas",Houston,Texas,South,3,9,0,Blonde,1,0,
Sarah Schnare,30,0,4,Journalist,Arts/Entertainment,"Nelson, British Columbia",Nelson,British Columbia,International,2,9,0,Brown,0,0,
Kim Jackson,27,0,7,Interior designer,Retail/Services/Entrepreneur,"Newport Beach, California",Newport Beach,California,West,2,9,0,Blonde,1,0,
Ellen DeMaio,30,0,4,Realtor,Real Estate,"New Haven, Connecticut",New Haven,Connecticut,Northeast,2,9,0,Brown,0,0,
Tara Durr,24,0,10,Realtor,Real Estate,"St. Augustine, Florida",St. Augustine,Florida,South,1,9,0,Blonde,1,0,
Rosella Fratto,27,0,7,Make-up artist,Arts/Entertainment,"Chicago, Illinois",Chicago,Illinois,Midwest,1,9,0,Brown,0,0,
Rita Ghazal,29,0,5,Policy advisor,Government,"Richmond, VA",Richmond,Virginia,South,1,9,0,Brown,0,0,
Renee Snell,30,0,4,Broadcast marketer,Marketing,"Baltimore, MD",Baltimore,Maryland,Northeast,1,9,0,Blonde,1,0,
Meri Barr,27,0,7,Attorney,Legal,"Biloxi, MS",Biloxi,Missouri,Midwest,1,9,0,Brown,0,0,
Laura Morgan,29,0,5,Dolphin trainer,Arts/Entertainment,"San Diego, CA",San Diego,California,West,1,9,0,Blonde,1,0,
Jessica Horner,25,0,9,Assistant buyer,Real Estate,"Charlotte, NC",Charlotte,North Carolina,South,1,9,0,Black,0,0,
Heather Sneed,34,0,0,Registered nurse,Medical,"Aliquippa, PA",Aliquippa,Pennsylvania,Northeast,1,9,0,Blonde,1,0,
Elyse Hammer,27,0,7,Physician,Medical,"New York, NY",New York,New York,Northeast,1,9,0,Red,0,0,
Cosetta Blanca,,0,34,Dancer,Arts/Entertainment,"Venice, Italy",Venice,Italy,International,1,9,0,,,0,
Claudia Gismondi,22,0,12,Restaurateur,Restaurant,"Boca Raton, FL",Boca Raton,Florida,South,1,9,0,Brown,0,0,
Carissa Ilburg,25,0,9,Attorney,Legal,"Cattaraugus, NY",Cattaraugus,New York,Northeast,1,9,0,Blonde,1,0,
Britt (Bowe) Newton,28,0,6,Beer chemist,Agriculture,"Columbus, OH",Columbus,Ohio,Midwest,1,9,0,Blonde,1,0,
Andrea Shirley,28,0,6,Hotel concierge,Retail/Services/Entrepreneur,"Cincinnati, OH",Cincinnati,Ohio,Midwest,1,9,0,Brown,0,0,
April Jacobs,23,0,11,Model,Arts/Entertainment,"Chicago, IL",Chicago,Illinois,Midwest,1,9,0,Brown,0,0,
Tessa Horst,26,0,4,Social Worker,Government,"San Francisco, California",San Francisco,California,West,9,10,0,Brown,0,1,68
Bevin Nicole Powers,28,0,2,Assistant,Corporate,"Palo Alto, California",Palo Alto,California,West,8,10,0,Blonde,1,0,
Danielle Imwalle,25,0,5,Graphic Designer,Arts/Entertainment,"Bethel, Connecticut",Bethel,Connecticut,Northeast,7,10,0,Blonde,1,0,
Amber Alchalabi,23,0,7,Teacher,Education,"Sugar Land, Texas",Sugar Land,Texas,South,6,10,0,Black,0,0,
Stephanie Wilhite,23,0,7,Project Manager,Corporate,"Overland Park, Kansas",Overland Park,Kansas,Midwest,5,10,0,Blonde,1,0,
Tina Wu,26,0,4,Medical student,Student,"Los Angeles, California",Los Angeles,California,West,5,10,0,Black,0,0,
Kate Brockhouse,24,0,6,Boutique owner,Retail/Services/Entrepreneur,"Ravenel, South Carolina",Ravenel,South Carolina,South,4,10,0,Blonde,1,0,
Nicole Clary,26,0,4,Sales Manager,Sales,"Charleston, SC",Charleston,South Carolina,South,4,10,0,Black,0,0,
Stephanie Tipper,27,0,3,Organ donor coordinator,Medical,"Folly Beach, SC",Folly Beach,South Carolina,South,4,10,1,Brown,0,0,
Amanda Hackney,26,0,4,Financial analyst,Finance,"Dallas, TX",Dallas,Texas,South,3,10,0,Black,0,0,
Erin Parker,24,0,6,Financial analyst,Finance,"Logansport, LA",Logansport,Louisiana,South,3,10,0,Blonde,1,0,
Peyton Wright,24,0,6,Sorority recruiter,Misc,"La Vergne, Tennessee",La Vergne,Tennessee,South,3,10,0,Blonde,1,0,
Alexis Young,26,0,4,Attorney,Legal,"Southlake, TX",Southlake,Texas,South,2,10,0,Brown,0,0,
Susan Anderson,23,0,7,Boutique manager,Retail/Services/Entrepreneur,"The Woodlands, TX",The Woodlands,Texas,South,2,10,0,Blonde,1,0,
Tiffany Warren,28,0,2,Medical equipment sales rep,Sales,"Boston, MA",Boston,Massachusetts,Northeast,2,10,0,Blonde,1,0,
Blakeney Rowe,29,0,1,Radio sales,Sales,"Birmingham, AL",Birmingham,Alabama,South,1,10,0,Blonde,1,0,
Candace DeCost,23,0,7,Waitress,Restaurant,"Hilton Head Island, SC",Hilton Head Island,South Carolina,South,1,10,0,Blonde,1,0,
Catherine Warren,23,0,7,Former Miss Illinois,Arts/Entertainment,"Lake Forest, IL",Lake Forest,Illinois,Midwest,1,10,0,Blonde,1,0,
Danielle Vallis,26,0,4,Attorney,Legal,"Bronx, NY",Bronx,New York,Northeast,1,10,0,Brown,0,0,
Jackie Topelli,23,0,7,Executive coordinator,Corporate,"Minneapolis, MN",Minneapolis,Minnesota,Midwest,1,10,0,Brown,0,0,
Jeanette Alvarez,27,0,3,Health care manager,Medical,"Tampa, FL",Tampa,Florida,South,1,10,0,Black,0,0,
Jessica Devallo,32,1,2,Hedge fund analyst,Finance,"New York, NY",New York,New York,Northeast,1,10,0,Blonde,1,0,
Linda Malek,33,1,3,Attorney,Legal,"Cuyahoga Falls, OH",Cuyahoga Falls,Ohio,Midwest,1,10,0,Black,0,0,
Lindsay Smith,22,0,8,Student,Student,"Lawrence, KS",Lawrence,Kansas,Midwest,1,10,0,Brown,0,0,
Tiffany Forester,27,0,3,Real estate sales/development,Real Estate,"St. Louis Park, MN",St. Louis Park,Minnesota,Midwest,1,10,0,Blonde,1,0,
Deanna Pappas,25,0,9,Realtor,Real Estate,"Newnan, Georgia",Newnan,Georgia,South,8,11,0,Brown,0,0,67
Jenni Croft,27,0,7,Phoenix Suns Cheerleader,Arts/Entertainment,"Wichita, Kansas",Wichita,Kansas,Midwest,8,11,1,Black,0,0,
Bettina Bell,27,0,7,Realtor,Real Estate,"Washington, D.C.",Washington D.C.,Washington D.C.,Northeast,7,11,0,Blonde,1,0,
Sheena Stewart,23,0,11,Internet marketing executive,Marketing,"Walnut Creek, California",Walnut Creek,California,West,6,11,0,Blonde,1,0,
Hillary Reisinger,27,0,7,Registered nurse,Medical,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,Northeast,5,11,0,Blonde,1,0,
Kristy Katzmann,29,0,5,Acupuncturist,Medical,"Gurnee, Illinois",Gurnee,Illinois,Midwest,5,11,0,Black,0,0,
"Estefania ""Stephy"" Kootz",26,0,8,Executive assistant,Corporate,"Atlanta, Georgia",Atlanta,Georgia,South,4,11,0,Brown,0,0,
Jade Beazley,24,0,10,Boutique sales worker,Retail/Services/Entrepreneur,"Nashville, Tennessee",Nashville,Tennessee,South,4,11,0,Brown,0,0,
McCarten Delaney,26,0,8,Account manager,Sales,"Lemon Grove, California",Lemon Grove,California,West,4,11,0,Brown,0,0,
Lindsey Hawkins,25,0,9,Model,Arts/Entertainment,"Livonia, Michigan",Livonia,Michigan,Midwest,3,11,0,Blonde,1,0,
Sarah Newlon,23,0,11,Bar manager,Restaurant,"O'Fallon, Illinois",O'Fallon,Illinois,Midwest,3,11,0,Brown,0,0,
Solisa Shoop,25,0,9,Esthetician,Medical,"Georgetown, Texas",Georgetown,Texas,South,3,11,0,Black,0,0,
Michele Leavy,30,0,4,Realtor,Real Estate,"South Brunswick, New Jersey",South Brunswick,New Jersey,Northeast,2,11,0,Blonde,1,0,
Mallory Simons,24,0,10,Nanny,Retail/Services/Entrepreneur,"Honolulu, Hawaii",Honolulu,Hawaii,West,2,11,0,Blonde,1,0,
Erin Gardner,25,0,9,Publishing sales executive,Sales,"Tampa, Florida",Tampa,Florida,South,2,11,0,Blonde,1,0,
Jessica Kiss,27,0,7,News anchor,Arts/Entertainment,"Lady Lake, Florida",Lady Lake,Florida,South,1,11,0,Blonde,1,0,
Juli Gilliam,24,0,10,Law student,Student,"Chicago, Illinois",Chicago,Illinois,Midwest,1,11,0,Blonde,1,0,
Kim Orville,31,0,3,Realtor,Real Estate,"Woodbridge, Connecticut",Woodbridge,Connecticut,Northeast,1,11,0,Brown,0,0,
Lori Langley,33,0,1,Biology teacher,Education,"Annapolis, Maryland",Annapolis,Maryland,Northeast,1,11,0,Blonde,1,0,
Melissa Buschel,28,0,6,Event planner,Retail/Services/Entrepreneur,"Westchester, New York",Westchester,New York,Northeast,1,11,0,Blonde,1,0,
Morgan Becker,24,0,10,Graduate student,Student,"Tempe, Arizona",Tempe,Arizona,West,1,11,0,Black,0,0,
Natalie Velasco,25,0,9,Law student,Student,"Duncanville, Texas",Duncanville,Texas,South,1,11,0,Black,0,0,
Regina Doringa,31,0,3,Account representative,Sales,"San Diego, California",San Diego,California,West,1,11,0,Black,0,0,
Tauni Nessler ,31,0,3,Emergency room nurse,Medical,"St. Louis Park, Minnesota",St. Louis Park,Minnesota,Midwest,1,11,0,Brown,0,0,
Susan Stein,35,1,1,Project analyst,Corporate,"St. Charles, Illinois",St. Charles,Illinois,Midwest,1,11,0,Brown,0,0,
Shayne Lamas,22,0,5,Actress,Arts/Entertainment,"Malibu, California",Malibu,California,West,9,12,0,Blonde,1,1,62
Chelsea Wanstrath,25,0,2,Pharmaceutical sales rep.,Sales,"Durango, Colorado",Durango,Colorado,West,8,12,0,Brown,0,0,
Amanda Rantuccio,27,0,0,Account Executive,Sales,"Niceville, Florida",Niceville,Florida,South,7,12,1,Brown,0,0,
Noelle Drake,26,0,1,Photographer,Arts/Entertainment,"Loveland, Colorado",Loveland,Colorado,West,6,12,0,Brown,0,0,
Marshana Ritchie,27,0,0,Fashion designer,Arts/Entertainment,"Brooklyn, New York",Brooklyn,New York,Northeast,5,12,0,Black,0,0,
Robin Canfield,22,0,5,Advertising coordinator,Marketing,"Holland, Michigan",Holland,Michigan,Midwest,5,12,0,Brown,0,0,
Ashlee Williss,22,0,5,Singer-songwriter,Arts/Entertainment,"Jacksonville Beach, Florida",Jacksonville Beach,Florida,South,4,12,0,Brown,0,0,
Kelly Duncan,25,0,2,Medical sales rep.,Sales,"Hollywood, California",Hollywood,California,West,4,12,0,Blonde,1,0,
Holly Durst,24,0,3,Children's book author,Arts/Entertainment,"Suffield, Ohio",Suffield,Ohio,Midwest,4,12,0,Blonde,1,0,
Amy,22,0,5,Nanny,Retail/Services/Entrepreneur,"Stockton, California",Stockton,California,West,3,12,0,Blonde,1,0,
Erin Storm,33,1,6,Hot-dog vendor,Retail/Services/Entrepreneur,"Venice, California",Venice,California,West,3,12,0,Blonde,1,0,
Kristine Heffelfinger,33,1,6,Personal trainer,Retail/Services/Entrepreneur,"Dillsburg, Pennsylvania",Dillsburg,Pennsylvania,Northeast,3,12,0,Blonde,1,0,
Carri Perrier,25,0,2,Church marketing rep.,Marketing,"Oklahoma City, Oklahoma",Oklahoma City,Oklahoma,South,2,12,0,Red,0,0,
Erin Harper,25,0,2,Event planner,Retail/Services/Entrepreneur,"Seattle, Washington",Seattle,Washington,West,2,12,0,Blonde,1,0,
Michelle P.,28,1,1,Administrative assistant,Corporate,"Syracuse, New York",Syracuse,New York,Northeast,2,12,0,Black,0,0,
Alyssa,24,0,3,Biology student,Student,"Boise, Idaho",Boise,Idaho,West,1,12,0,Blonde,1,0,
Amanda Petterman,26,0,1,Law student,Student,"LaFollette, Tennessee",LaFollette,Tennessee,South,1,12,0,Blonde,1,0,
Denise,30,1,3,Attorney and former White House aide,Legal,"Washington, D.C",Washington,D.C,Northeast,1,12,0,Brown,0,0,
Devon,24,0,3,Makeup artist,Arts/Entertainment,"Austin, Texas",Austin,Texas,South,1,12,0,Blonde,1,0,
Lesley Geyer,23,0,4,Youth minister,Misc,"Tampa, Florida",Tampa,Florida,South,1,12,0,Brown,0,0,
Michele R.,33,1,6,Interior designer,Retail/Services/Entrepreneur,"Laguna Niguel, California",Laguna Niguel,California,West,1,12,0,Brown,0,0,
Rebecca,30,1,3,Attorney,Legal,"Alamo, California",Alamo,California,West,1,12,0,Black,0,0,
Stacey Elza,26,0,1,Graduate student,Student,"Chicago, Illinois",Chicago,Illinois,Midwest,1,12,0,Blonde,1,0,
Tamara,23,0,4,Cocktail waitress,Restaurant,"Beverly Hills, California",Beverly Hills,California,West,1,12,0,Brown,0,0,
Tiffany,33,1,6,31,Marketing,"San Francisco, California",San Francisco,California,West,1,12,0,Black,0,0,
Melissa Rycroft,25,0,7,Sales Representative,Sales,"Dallas, Texas",Dallas,Texas,South,9,13,0,Brown,0,1,63
Molly Malaney,24,0,8,Department Store Buyer,Retail/Services/Entrepreneur,"Brookfield, Wisconsin",Brookfield,Wisconsin,Midwest,8,13,0,Blonde,1,0,67
Jillian Harris,29,0,3,Interior Designer,Retail/Services/Entrepreneur,"Peace River, Alberta",Peace River,Alberta,International,7,13,0,Brown,0,0,62
Naomi Rose Crespo,24,0,8,Flight Attendant,Transportation,"Carlsbad, California",Carlsbad,California,West,6,13,0,Brown,0,0,
Stephanie Hogan,34,1,2,Single Mother & Medical Marketing Rep.,Marketing,"Huntsville, Alabama",Huntsville,Alabama,South,5,13,0,Brown,0,0,
Lauren Wanger,27,0,5,Teacher,Education,"Marlboro, New Jersey",Marlboro,New Jersey,Northeast,4,13,0,Blonde,1,0,
Megan Parris,25,0,7,Single Mother and Lacrosse Coach,Arts/Entertainment,"Sewickley, Pennsylvania",Sewickley,Pennsylvania,Northeast,4,13,0,Brown,0,0,
Shannon Bair,29,0,3,Dental Hygienist,Medical,"Marshall, Missouri",Marshall,Missouri,Midwest,4,13,0,Brown,0,0,
"Nicole ""Nikki"" Kaapke",29,0,3,Administrative Assistant,Corporate,"Blue Island, Illinois",Blue Island,Illinois,Midwest,4,13,1,Black,0,0,
Erica DeSimone,25,0,7,Account Executive,Sales,"Monroe, Connecticut",Monroe,Connecticut,Northeast,3,13,0,Blonde,1,0,
Kari Fajen,27,0,5,Account Executive,Sales,"Lee's Summit, Missouri",Lee's Summit,Missouri,Midwest,3,13,0,Brown,0,0,
Natalie Getz,27,0,5,Human Resources Recruiter,Sales,"Morton, Illinois",Morton,Illinois,Midwest,3,13,0,Blonde,1,0,
Raquel Medeiros,27,0,5,Medical Student,Student,"Recife, Pernambuco, Brazil",Recife,Pernambuco,International,2,13,0,Black,0,0,
Sharon Staebell,32,0,0,Teacher,Education,"Batavia, New York",Batavia,New York,Northeast,2,13,0,Blonde,1,0,
Lisa Gonzalez,28,0,4,Public Relations Associate,Corporate,"Boise, Idaho",Boise,Idaho,West,2,13,0,Brown,0,0,
Ann Lueders,24,0,8,Flight Attendant,Transportation,"Phoenix, Arizona",Phoenix,Arizona,West,1,13,0,Brown,0,0,
Dominique Carta,26,0,6,Medical Sales Rep.,Sales,"Mt. Carmel, Pennsylvania",Mt. Carmel,Pennsylvania,Northeast,1,13,0,Blonde,1,0,
Emily,23,0,9,Casino Marketing Rep.,Marketing,"Seattle, Washington",Seattle,Washington,West,1,13,0,Blonde,1,0,
Jackie Hickey,26,0,6,Wedding Coordinator,Retail/Services/Entrepreneur,"Springfield, Massachusetts",Springfield,Massachusetts,Northeast,1,13,0,Brown,0,0,
Julie Dermotta,26,0,6,Teacher,Education,"Columbus, Ohio",Columbus,Ohio,Midwest,1,13,0,Black,0,0,
Nicole Mah,25,0,7,Menswear Buyer,Retail/Services/Entrepreneur,"Calgary, Alberta",Calgary,Alberta,International,1,13,0,Black,0,0,
Renee Simlak,36,1,4,Jewelry Designer,Arts/Entertainment,"Southfield, Michigan",Southfield,Michigan,Midwest,1,13,0,Brown,0,0,
Shelby,23,0,9,Account Executive,Sales,"Stockton, California",Stockton,California,West,1,13,0,Blonde,1,0,
Stacia Mann,24,0,8,Single Mother & Charity Accountant,Finance,"Orem, Utah",Orem,Utah,West,1,13,0,Brown,0,0,
Treasure Morgan,28,0,4,Single Mother and Nurse Practitioner,Medical,"Salt Lake City, Utah",Salt Lake City,Utah,West,1,13,0,Brown,0,0,
Vienna Girardi,23,0,8,Marketing Representative,Marketing,"Geneva, Florida",Geneva,Florida,South,9,14,1,Blonde,1,1,66
Tenley Molzahn,25,0,6,College Admissions,Education,"Newberg, Oregon",Newberg,Oregon,West,8,14,0,Blonde,1,0,65
Gia Allemand,26,0,5,Swimsuit Model,Arts/Entertainment,"New York, New York",New York,New York,Northeast,7,14,0,Red,0,0,65
Ali Fedotowsky,25,0,6,Advertising Account Manager,Sales,"Williamstown, Massachusetts",Williamstown,Massachusetts,Northeast,6,14,0,Blonde,1,0,67
